episode_id,evaluation_lane_seed,D0_U,I_U,D0_J,I_J,I_minus_D0
0,781103,39.63165487162911,24.853418284508535,0.4755798584595493,0.2982410194141024,-0.1773388390454469
1,781104,32.01875468792169,30.522978381809448,0.38422505625506026,0.36627574058171336,-0.0179493156733469
2,781105,30.567865363630396,33.28360052426546,0.3668143843635647,0.3994032062911855,0.03258882192762075
3,781106,30.86637409023863,39.10028508457876,0.3703964890828636,0.4692034210149451,0.09880693193208151
4,781107,28.524444433315395,39.856403934410174,0.3422933331997847,0.47827684721292213,0.1359835140131374
5,781108,28.928575469642148,32.768282723183006,0.3471429056357058,0.39321939267819606,0.04607648704249023
6,781109,20.007513449226632,27.401406923243318,0.24009016139071956,0.3288168830789198,0.08872672168820026
7,781110,33.10499769013491,37.495798962987365,0.3972599722816189,0.4499495875558484,0.052689615274229495
8,781111,36.82438159700542,38.98279626460542,0.44189257916406505,0.46779355517526505,0.025900976011200005
9,781112,38.70322197373297,48.11617920619029,0.46443866368479564,0.5773941504742834,0.1129554867894878
10,781113,46.977370471456744,42.24269422818219,0.5637284456574809,0.5069123307381862,-0.056816114919294725
11,781114,46.25576754360187,25.935185308286705,0.5550692105232224,0.31122222369944047,-0.24384698682378197
12,781115,37.83522808936359,39.36587789365392,0.45402273707236307,0.47239053472384707,0.018367797651483997
13,781116,38.45686855668346,30.531483682173146,0.4614824226802015,0.36637780418607774,-0.09510461849412377
14,781117,41.99280486628223,41.800162424111214,0.5039136583953867,0.5016019490893345,-0.0023117093060521787
15,781118,28.724135817454773,37.060217793042455,0.3446896298094573,0.44472261351650944,0.10003298370705216
16,781119,41.98316074956705,24.85693921286669,0.5037979289948046,0.29828327055440024,-0.20551465844040434
17,781120,33.08070035498612,38.596403078219794,0.39696840425983343,0.4631568369386375,0.06618843267880409
18,781121,41.89583379885158,27.622819382102584,0.5027500055862189,0.331473832585231,-0.17127617300098785
19,781122,35.09800855875658,33.94485828493969,0.42117610270507894,0.4073382994192763,-0.013837803285802641
20,781123,42.04799653729394,26.01567492736909,0.5045759584475273,0.3121880991284291,-0.19238785931909824
21,781124,29.418868403891135,15.648174472228565,0.3530264208466936,0.18777809366674278,-0.16524832717995083
22,781125,32.54289726368189,41.14401332973588,0.39051476716418265,0.4937281599568305,0.10321339279264785
23,781126,34.71351684061412,36.10958882195564,0.41656220208736944,0.4333150658634677,0.016752863776098248
24,781127,27.73149231743846,27.452392019583108,0.3327779078092615,0.3294287042349973,-0.003349203574264159
25,781128,27.857158113096954,24.790179274831097,0.3342858973571634,0.2974821512979731,-0.03680374605919029
26,781129,23.969368697019362,30.605284389001426,0.28763242436423236,0.3672634126680171,0.07963098830378473
27,781130,38.350245774430604,38.141462480366094,0.46020294929316724,0.4576975497643931,-0.002505399528774155
28,781131,31.789491716488453,41.02839060905949,0.3814739005978614,0.4923406873087139,0.11086678671085248
29,781132,24.12997916798092,19.918385621051872,0.28955975001577106,0.23902062745262248,-0.050539122563148575
30,781133,32.69285248772298,20.581842775548424,0.3923142298526758,0.2469821133065811,-0.14533211654609468
31,781134,29.385470887524747,37.186005409638526,0.35262565065029694,0.4462320649156623,0.09360641426536537
