episode_id,evaluation_lane_seed,D0_U,I_U,D0_J,I_J,I_minus_D0_J
0,781003,25.260672097430156,40.48279062253112,0.30312806516916185,0.48579348747037343,0.18266542230121158
1,781004,20.62364788426794,36.83092850104839,0.24748377461121526,0.4419711420125807,0.19448736740136544
2,781005,20.310606393387918,43.69244712102405,0.24372727672065503,0.5243093654522886,0.28058208873163354
3,781006,21.33620545678692,41.14582915379856,0.25603446548144304,0.4937499498455827,0.23771548436413964
4,781007,15.733512869575263,39.772530294044586,0.18880215443490314,0.477270363528535,0.2884682090936319
5,781008,20.77882076433066,34.22277617808685,0.24934584917196792,0.4106733141370422,0.1613274649650743
6,781009,25.596167305790285,40.64569075249965,0.3071540076694834,0.4877482890299958,0.18059428136051237
7,781010,23.85419733961318,34.98421861524081,0.28625036807535814,0.4198106233828897,0.13356025530753157
8,781011,13.524517340419456,39.12567538112695,0.16229420808503345,0.46950810457352343,0.30721389648848996
9,781012,20.125299221174654,39.343056025021866,0.24150359065409582,0.4721166723002624,0.23061308164616656
10,781013,21.507343983317217,46.04446509864322,0.2580881277998066,0.5525335811837186,0.29444545338391204
11,781014,17.584037848959706,32.016619188682846,0.21100845418751646,0.3841994302641941,0.17319097607667766
12,781015,13.899061929639755,39.2640687372387,0.16678874315567704,0.4711688248468644,0.30438008169118735
13,781016,19.462515330145738,32.49512095320524,0.23355018396174887,0.38994145143846287,0.156391267476714
14,781017,21.588484895714544,45.43594491479843,0.25906181874857453,0.5452313389775811,0.2861695202290066
15,781018,26.275493159851475,39.64272810643228,0.3153059179182177,0.4757127372771873,0.1604068193589696
16,781019,29.959058479064314,48.0181677649752,0.3595087017487718,0.5762180131797024,0.21670931143093064
17,781020,22.104460607158035,36.677763027218276,0.26525352728589646,0.4401331563266193,0.17487962904072285
18,781021,13.349924521867635,40.526654471804896,0.1601990942624116,0.48631985366165875,0.3261207593992471
19,781022,20.33353957090209,37.7589357224307,0.24400247485082507,0.4531072286691684,0.20910475381834334
20,781023,30.685090868287087,38.21920588412034,0.368221090419445,0.4586304706094441,0.09040938018999911
21,781024,20.187156452599904,33.38875930603686,0.24224587743119882,0.40066511167244234,0.15841923424124352
22,781025,23.643925730259397,29.634161326965465,0.28372710876311275,0.3556099359235856,0.07188282716047284
23,781026,25.83238289420731,47.141689994322974,0.30998859473048773,0.5657002799318757,0.25571168520138793
24,781027,21.172602302705673,36.79093126576711,0.2540712276324681,0.4414911751892053,0.1874199475567372
25,781028,22.411202991499895,41.02060487470362,0.26893443589799876,0.49224725849644346,0.2233128225984447
26,781029,26.61025848195775,35.916174658029576,0.31932310178349305,0.4309940958963549,0.11167099411286185
27,781030,30.06079957642157,36.98015625702704,0.3607295949170588,0.4437618750843245,0.08303228016726572
28,781031,21.056460345405494,35.8084037557753,0.25267752414486594,0.4297008450693036,0.17702332092443768
29,781032,20.29632882560344,41.1181105001908,0.24355594590724128,0.49341732600228966,0.24986138009504838
30,781033,21.263539534387174,46.189674585227095,0.25516247441264606,0.5542760950227251,0.29911362061007907
31,781034,21.46651861766215,37.65529480186566,0.2575982234119458,0.45186353762238785,0.19426531421044202
