training_block,evaluation_seed,episode,U_D128,J_D128,U_D1280,J_D1280,U_I128,J_I128,U_I1280,J_I1280,SI1280,SI128,MI,MB,INT,PKG
772003,782003,0,36.76536373861319,0.44118436486335827,36.36125838301931,0.43633510059623176,22.095183449055316,0.2651422013886638,25.533189187635998,0.30639827025163197,-0.1299368303445998,-0.17604216347469448,-0.15298949690964714,0.018203402297920834,0.04610533313009468,-0.1347860946117263
772003,782004,1,19.415242268173404,0.23298290721808088,38.91474540596068,0.4669769448715282,33.84131818812205,0.40609581825746466,30.784829926693458,0.3694179591203215,-0.0975589857512067,0.17311291103938378,0.037776962644088544,0.09865808925815206,-0.27067189679059045,0.13643505190224062
772003,782005,2,24.984023429311378,0.2998082811517365,34.98381902925893,0.41980582835110714,30.872955802961325,0.3704754696355359,26.247075847090432,0.3149649101650852,-0.10484091818602193,0.07066718848379938,-0.017086864851111272,0.03224349386445996,-0.1755081066698213,0.015156629013348688
772003,782006,3,35.20317509629801,0.4224381011555761,34.12753035144262,0.4095303642173114,32.699918273107194,0.3923990192772864,39.85639248027637,0.47827670976331643,0.068746345546005,-0.030039081878289742,0.019353631833857632,0.03648497677388268,0.09878542742429475,0.055838608607740314
772003,782007,4,33.78558437373751,0.4054270124848501,22.210935761138018,0.26653122913365623,37.49426529140906,0.4499311834969087,37.77721567811254,0.4533265881373505,0.18679535900369426,0.04450417101205861,0.11564976500787644,-0.06775018935537602,0.14229118799163565,0.047899575652500415
772003,782008,5,33.519675115346516,0.40223610138415816,34.489319939917145,0.4138718392790057,16.893483149025858,0.20272179778831032,26.632455527995244,0.31958946633594293,-0.0942823729430628,-0.19951430359584785,-0.1468983382694553,0.06425170322124009,0.10523193065278505,-0.08264663504821523
772003,782009,6,31.758889763918877,0.3811066771670265,39.62638077865753,0.4755165693438903,33.84311620148622,0.40611739441783457,38.013726393390094,0.4561647167206811,-0.01935185262320921,0.025010717250808057,0.0028294323137994237,0.07222860723985519,-0.044362569874017266,0.07505803955365459
772003,782010,7,32.68625856507055,0.39223510278084667,34.62823688042852,0.41553884256514223,42.448932695576964,0.5093871923469236,26.604611766310892,0.3192553411957307,-0.09628350136941155,0.11715208956607698,0.010434294098332714,-0.0834140556834487,-0.21343559093548853,-0.07297976158511599
772003,782011,8,32.44355673949074,0.3893226808738889,26.15968961565155,0.3139162753878186,27.87009544507935,0.33444114534095215,27.193523960377572,0.32632228752453085,0.012406012136712274,-0.05488153553293673,-0.02123776169811223,-0.0417626316512458,0.067287547669649,-0.06300039334935803
772003,782012,9,37.37630675949659,0.44851568111395906,15.880824660022542,0.19056989592027052,23.863385697667095,0.2863606283720051,34.61748999003931,0.41540987988047173,0.22483998396020122,-0.16215505274195396,0.031342465609123626,-0.06444826684261096,0.3869950367021552,-0.03310580123348733
772003,782013,10,34.24701161698923,0.4109641394038707,32.15903467281102,0.3859084160737322,22.21179717138961,0.26654156605667534,28.93005789404264,0.34716069472851163,-0.03874772134522059,-0.14442257334719538,-0.09158514734620798,0.027781702670848896,0.1056748520019748,-0.06380344467535909
