update,cycle,active_n,transitions_per_arm,tokens_per_arm,shared_utility,specialist_utility,shared_loss,specialist_loss,shared_gradient_norm,specialist_gradient_norm,sample_replay_logp_max_error,prefix_replay_max_error,masked_probability_mass_max,hidden_replay_max_error,elapsed_seconds
1,1,6,512,3072,0.1845703125,0.1845703125,-0.014046546071767807,-0.014046546071767807,0.10233541578054428,0.10233541578054428,0.0,0.0,0.0,0.0,2.8931501999977627
2,1,4,1024,5120,0.2805989682674408,0.2805989682674408,-0.007294035516679287,-0.006884682923555374,0.12401068210601807,0.12733742594718933,0.0,0.0,0.0,0.0,4.763146400000551
3,1,2,1536,6144,0.3458659052848816,0.3502604365348816,0.0009093238040804863,0.0021450314670801163,0.12966206669807434,0.13643085956573486,0.0,0.0,0.0,0.0,5.9821381000001566
4,1,3,2048,7680,0.4114583432674408,0.4114583432674408,0.001173841767013073,0.002781492657959461,0.15649878978729248,0.1655445545911789,0.0,0.0,0.0,0.0,7.556802599996445
5,1,5,2560,10240,0.2732204794883728,0.2663845419883728,-0.01061994768679142,-0.009286885149776936,0.11676010489463806,0.12838858366012573,0.0,0.0,0.0,0.0,9.884511700001894
6,2,3,3072,11776,0.3157552182674408,0.3103841245174408,-0.003766583278775215,-0.002377523109316826,0.11852934956550598,0.12847574055194855,0.0,0.0,0.0,0.0,11.76765670000168
7,2,2,3584,12800,0.4505208432674408,0.4296875,0.004687853157520294,0.006714217364788055,0.15207932889461517,0.1584986448287964,0.0,0.0,0.0,0.0,12.995436500001233
8,2,6,4096,15872,0.2205946147441864,0.2205946147441864,-0.01522800698876381,-0.013357260264456272,0.08984705805778503,0.11201255023479462,0.0,0.0,0.0,0.0,15.47438990000228
9,2,4,4608,17920,0.28662109375,0.28662109375,-0.009728172793984413,-0.007152712903916836,0.1038484126329422,0.12614083290100098,0.0,0.0,0.0,0.0,17.416116899999906
10,2,5,5120,20480,0.2562391757965088,0.2513563632965088,-0.01280910149216652,-0.010314338840544224,0.09357769042253494,0.11928673833608627,0.0,0.0,0.0,0.0,19.649017900002946
11,3,4,5632,22528,0.3123372495174408,0.3123372495174408,-0.009358517825603485,-0.006322295404970646,0.1068701520562172,0.13193416595458984,0.0,0.0,0.0,0.0,21.55865520000225
12,3,6,6144,25600,0.21826171875,0.21142578125,-0.016023708507418633,-0.013742242008447647,0.07487592846155167,0.1047583818435669,0.0,0.0,0.0,0.0,24.01047390000167
13,3,5,6656,28160,0.2556966245174408,0.2493489682674408,-0.013594023883342743,-0.010830027051270008,0.0837489441037178,0.11505264043807983,0.0,0.0,0.0,0.0,26.05940030000056
14,3,2,7168,29184,0.4235026240348816,0.4235026240348816,0.0009930199012160301,0.005947583355009556,0.12666462361812592,0.1538686454296112,0.0,0.0,0.0,0.0,27.0854313000018
15,3,3,7680,30720,0.4007161557674408,0.3943684995174408,-0.004196982830762863,0.0005878498777747154,0.1222987174987793,0.15363651514053345,0.0,0.0,0.0,0.0,28.518776899996737
16,4,5,8192,33280,0.2805989682674408,0.2757161557674408,-0.013665049336850643,-0.010175460949540138,0.08331873267889023,0.12119404971599579,0.0,0.0,0.0,0.0,30.889741500002856
17,4,3,8704,34816,0.36865234375,0.36865234375,-0.006475107744336128,-0.0014297114685177803,0.10622715950012207,0.1419229805469513,0.0,0.0,0.0,0.0,32.644513799998094
18,4,6,9216,37888,0.1843532919883728,0.1833767294883728,-0.017734985798597336,-0.015092046931385994,0.04152577370405197,0.09048709273338318,0.0,0.0,0.0,0.0,35.5472288000019
19,4,4,9728,39936,0.2664388120174408,0.2708333432674408,-0.012935712933540344,-0.008593094535171986,0.06721526384353638,0.1140851080417633,0.0,0.0,0.0,0.0,37.890680199998314
20,4,2,10240,40960,0.3883463740348816,0.3883463740348816,-0.00310830632224679,0.002911977469921112,0.10177703201770782,0.1400909423828125,0.0,0.0,0.0,0.0,39.343395700001565
21,5,3,10752,42496,0.4109700620174408,0.4138997495174408,-0.005911517888307571,0.0007917508482933044,0.11041761189699173,0.15415018796920776,0.0,0.0,0.0,0.0,41.08931489999668
22,5,2,11264,43520,0.3671875,0.3603515625,-0.004255393519997597,0.0012620966881513596,0.09058044850826263,0.1286952644586563,0.0,0.0,0.0,0.0,42.17962719999923
23,5,4,11776,45568,0.255859375,0.255859375,-0.013751773163676262,-0.009543617255985737,0.05217733979225159,0.1055966392159462,0.0,0.0,0.0,0.0,43.82488700000249
24,5,5,12288,48128,0.2841254472732544,0.2807074785232544,-0.015069263055920601,-0.010173147544264793,0.0599663145840168,0.11952050775289536,0.0,0.0,0.0,0.0,45.803943300001265
25,5,6,12800,51200,0.2017143964767456,0.2078450620174408,-0.017879091203212738,-0.014303861185908318,0.0250716432929039,0.09599575400352478,0.0,0.0,0.0,0.0,48.48204029999761
26,6,5,13312,53760,0.28369140625,0.26904296875,-0.015552442520856857,-0.011241397820413113,0.05407414212822914,0.1117636039853096,0.0,0.0,0.0,0.0,51.196171600000525
27,6,2,13824,54784,0.400390625,0.4052734375,-0.004695437848567963,0.0027457736432552338,0.09077030420303345,0.14041279256343842,0.0,0.0,0.0,0.0,52.63234389999707
28,6,4,14336,56832,0.2736002802848816,0.2674153745174408,-0.014156799763441086,-0.009535669349133968,0.045148707926273346,0.10647668689489365,0.0,0.0,0.0,0.0,55.442735199998424
29,6,6,14848,59904,0.2190212607383728,0.2081705778837204,-0.01838766597211361,-0.015141408890485764,0.019542556256055832,0.09238912910223007,0.0,0.0,0.0,0.0,59.04874299999938
