episode_id,D0_U,I1280_U,D0_J,I1280_J,I1280_minus_D0_J
0,22.937840961884227,35.50360122667956,0.2752540915426107,0.42604321472015466,0.15078912317754395
1,18.451388871174213,38.6492215314253,0.22141666645409055,0.4637906583771036,0.24237399192301304
2,31.159156980194574,36.322032746042254,0.37390988376233486,0.43586439295250706,0.0619545091901722
3,42.67784617814477,48.29002441974591,0.5121341541377372,0.5794802930369509,0.0673461388992137
4,21.20887558711271,43.566430131561944,0.25450650704535255,0.5227971615787432,0.2682906545333907
5,36.228501690641586,41.810496354029766,0.434742020287699,0.5017259562483571,0.06698393596065816
6,44.379383917501755,43.45764214405964,0.5325526070100212,0.5214917057287157,-0.011060901281305435
7,33.93178140020631,34.73655547774407,0.40718137680247574,0.4168386657329288,0.00965728893045309
8,38.98124980502221,34.6795453505317,0.46777499766026653,0.4161545442063804,-0.05162045345388616
9,33.54686160557027,42.9622656896117,0.40256233926684326,0.5155471882753404,0.11298484900849715
10,36.85700482152574,40.86876204210629,0.4422840578583089,0.4904251445052755,0.048141086646966647
11,27.097982342294916,39.126960488630885,0.325175788107539,0.4695235258635706,0.1443477377560316
12,41.289062297817075,9.47612745133184,0.4954687475738049,0.11371352941598206,-0.3817552181578228
13,41.54808552398206,30.76414832806639,0.4985770262877848,0.36916977993679667,-0.1294072463509881
14,42.90172994704176,44.4841518667052,0.5148207593645011,0.5338098224004624,0.018989063035961262
15,36.77320718545773,48.8978644993969,0.44127848622549276,0.5867743739927628,0.14549588776727002
16,12.980290215227146,32.64690933127669,0.15576348258272577,0.39176291197532026,0.2359994293925945
17,45.111883070528265,46.48111377358529,0.5413425968463391,0.5577733652830235,0.01643076843668434
18,41.58514993501594,44.34873459459124,0.49902179922019124,0.532184815135095,0.033163015914903726
19,46.104181521008044,39.90936101598171,0.5532501782520964,0.4789123321917805,-0.07433784606031596
20,30.57331536298545,36.23859876471367,0.3668797843558254,0.4348631851765641,0.06798340082073867
21,17.819670907600987,42.283000693511326,0.21383605089121185,0.5073960083221359,0.2935599574309241
22,37.78354150149978,42.256049808285375,0.4534024980179974,0.5070725976994245,0.05367009968142705
23,17.603284530088022,46.21941928141066,0.21123941436105628,0.5546330313769279,0.34339361701587157
24,41.578292925208956,39.890230075735495,0.49893951510250745,0.4786827609088259,-0.02025675419368156
25,36.83322009335666,29.679610902112092,0.4419986411202799,0.3561553308253451,-0.0858433102949348
26,26.79836370687334,29.331295970025778,0.32158036448248006,0.35197555164030936,0.030395187157829295
27,42.57508829428454,39.90952879580042,0.5109010595314145,0.47891434554960505,-0.03198671398180947
28,37.94143023761465,40.728017954831394,0.4552971628513758,0.48873621545797674,0.03343905260660096
29,34.27502829124036,41.08412123406425,0.4113003394948843,0.493009454808771,0.0817091153138867
30,45.50263794410626,49.85940040698039,0.5460316553292752,0.5983128048837647,0.05228114955448948
31,45.02986378630248,47.54389167375145,0.5403583654356298,0.5705267000850174,0.030168334649387618
