episode_id,evaluation_seed,D0_U,I_U,D0_J,I_J,I_minus_D0_J
0,781303,27.90475005130407,39.45260265746803,0.3348570006156489,0.47343123188961633,0.13857423127396745
1,781304,35.468366926558005,38.432810745259665,0.42562040311869603,0.46119372894311594,0.03557332582441991
2,781305,34.25508169351919,42.24756698236476,0.41106098032223026,0.5069708037883771,0.09590982346614685
3,781306,45.301089676547775,42.3886783541219,0.5436130761185733,0.5086641402494628,-0.03494893586911052
4,781307,40.33485125687574,45.013964734175346,0.48401821508250886,0.5401675768101042,0.056149361727595326
5,781308,34.60344445767983,45.61871684787363,0.4152413334921579,0.5474246021744835,0.1321832686823256
6,781309,41.55624537509708,37.00339153530321,0.49867494450116495,0.4440406984236385,-0.05463424607752643
7,781310,35.963032784997544,39.50418568513138,0.4315563934199705,0.4740502282215766,0.04249383480160612
8,781311,36.74873732619561,36.68912972420527,0.44098484791434733,0.44026955669046325,-0.0007152912238840847
9,781312,27.843730998634165,26.70262000766116,0.33412477198361,0.320431440091934,-0.013693331891676042
10,781313,37.302414715332674,40.948135255314554,0.4476289765839921,0.49137762306377464,0.04374864647978255
11,781314,44.681170753873005,38.70250115849914,0.536174049046476,0.4644300139019897,-0.07174403514448635
12,781315,30.201504190715085,41.52289761687687,0.36241805028858104,0.49827477140252247,0.13585672111394143
13,781316,23.27407591351826,35.702174255747735,0.27928891096221914,0.42842609106897284,0.1491371801067537
14,781317,39.61442803097345,43.22326243283457,0.47537313637168144,0.5186791491940148,0.04330601282233337
15,781318,39.09246930496484,48.47245210698747,0.46910963165957803,0.5816694252838496,0.11255979362427154
16,781319,31.382815434788654,40.59260833381514,0.37659378521746384,0.4871113000057817,0.11051751478831784
17,781320,36.700925178560745,45.289458402460156,0.44041110214272894,0.5434735008295218,0.1030623986867929
18,781321,39.64349959864206,45.096785698717724,0.4757219951837047,0.5411614283846127,0.06543943320090795
19,781322,41.19953140244896,47.549726924056074,0.4943943768293875,0.5705967230886729,0.0762023462592854
20,781323,37.15678189444749,37.45941847325174,0.4458813827333699,0.4495130216790209,0.0036316389456509945
21,781324,28.510287061200643,35.581716594064865,0.3421234447344077,0.4269805991287784,0.08485715439437069
22,781325,35.203495600785715,39.58873431770535,0.42244194720942857,0.4750648118124642,0.05262286460303561
23,781326,34.359108183297636,34.70216558448621,0.4123092981995716,0.41642598701383454,0.004116688814262914
24,781327,41.48931366415388,50.42638874379528,0.4978717639698466,0.6051166649255433,0.10724490095569666
25,781328,25.35236238390435,42.59309965534993,0.3042283486068522,0.5111171958641991,0.2068888472573469
26,781329,39.24153037139705,52.1447931474358,0.4708983644567646,0.6257375177692296,0.154839153312465
27,781330,27.858408546158007,45.30918505867546,0.3343009025538961,0.5437102207041055,0.20940931815020936
28,781331,37.59794988428452,45.101604645307226,0.4511753986114142,0.5412192557436868,0.09004385713227259
29,781332,42.515302488269256,39.9969960507115,0.510183629859231,0.479963952608538,-0.030219677250693022
30,781333,25.43764052251487,36.28552891743079,0.3052516862701784,0.4354263470091695,0.1301746607389911
31,781334,24.51858152547929,39.7633577207086,0.2942229783057515,0.4771602926485032,0.18293731434275168
