episode_id,evaluation_lane_seed,D0_U,I_U,D0_J,I_J,I_minus_D0_J
0,781203,34.82540959649808,31.85343871384267,0.417904915157977,0.382241264566112,-0.03566365059186499
1,781204,29.163191344386515,31.817858207637457,0.3499582961326382,0.3818142984916495,0.031856002359011315
2,781205,26.23066270001179,23.904927154513505,0.3147679524001415,0.28685912585416207,-0.027908826545979426
3,781206,19.130507439415474,25.697281515635297,0.2295660892729857,0.30836737818762355,0.07880128891463786
4,781207,15.490808271827586,17.13657452470446,0.18588969926193102,0.20563889429645354,0.01974919503452252
5,781208,33.635359653712506,29.32329259873548,0.4036243158445501,0.3518795111848258,-0.05174480465972431
6,781209,23.134829658075912,26.910971404905293,0.2776179558969109,0.3229316568588635,0.045313700961952585
7,781210,28.674214729693194,31.666381456132207,0.3440905767563183,0.3799965774735865,0.03590600071726818
8,781211,20.44922123470348,20.25016240858463,0.24539065481644176,0.24300194890301555,-0.0023887059134262145
9,781212,33.03984873206646,27.374324650227987,0.3964781847847975,0.3284918958027358,-0.06798628898206172
10,781213,22.301149169162677,30.859644557009233,0.26761379002995217,0.3703157346841108,0.1027019446541586
11,781214,20.407084421784838,27.43860731012731,0.24488501306141805,0.32926328772152774,0.08437827466010969
12,781215,26.74701478395604,30.636874524161485,0.32096417740747246,0.36764249428993784,0.046678316882465376
13,781216,25.3912194637209,29.697252932301147,0.3046946335646508,0.35636703518761376,0.05167240162296294
14,781217,28.237771752110753,34.92344099852407,0.3388532610253291,0.4190812919822889,0.0802280309569598
15,781218,31.54466495563761,26.593174950086187,0.37853597946765133,0.3191180994010342,-0.059417880066617135
16,781219,34.5352955957038,25.79444141679539,0.4144235471484456,0.3095332970015447,-0.1048902501469009
17,781220,37.13202925037908,31.0119242390273,0.4455843510045489,0.3721430908683276,-0.07344126013622132
18,781221,32.43796664616421,23.770198860770375,0.38925559975397056,0.2852423863292445,-0.10401321342472608
19,781222,21.678836481031425,20.517822936603963,0.2601460377723771,0.24621387523924756,-0.013932162533129538
20,781223,25.15939583962238,28.566545949892728,0.3019127500754686,0.34279855139871274,0.04088580132324415
21,781224,31.25422920065081,36.045704947499935,0.37505075040780966,0.43254845936999925,0.057497708962189586
22,781225,18.996297521572057,26.163155602572328,0.22795557025886468,0.31395786723086794,0.08600229697200326
23,781226,27.48088898218707,29.919512302835773,0.32977066778624486,0.3590341476340293,0.029263479847784435
24,781227,30.60631220841212,21.26572504205,0.36727574650094547,0.2551887005046,-0.11208704599634545
25,781228,29.273458444950602,35.11026150524506,0.3512815013394072,0.42132313806294075,0.07004163672353353
26,781229,26.75306232939787,27.184327231753215,0.3210367479527745,0.3262119267810386,0.0051751788282641265
27,781230,28.09684521989078,23.104782549834255,0.3371621426386894,0.2772573905980111,-0.0599047520406783
28,781231,27.73802194115397,33.34449856881345,0.33285626329384765,0.4001339828257614,0.06727771953191375
29,781232,18.577840940374195,23.778229285092014,0.22293409128449035,0.28533875142110415,0.062404660136613804
30,781233,17.217850799925397,32.42147629285478,0.20661420959910476,0.38905771551425733,0.18244350591515257
31,781234,34.52655489459362,29.264511339339496,0.41431865873512347,0.351174136072074,-0.06314452266304948
